ADDRESS_FULL,ADDRESS_NUMBER,ADDRESS_POINT_ID,BIKE_CAPACITY,CENTRELINE_ID,CHANGE_ROOM,CITY,FLANKING,GENERAL_USE_CODE,HI_NUM,HI_NUM_SUF,ID,LATITUDE,LINEAR_NAME_FULL,LINEAR_NAME_ID,LONGITUDE,LO_NUM,LO_NUM_SUF,MUNICIPALITY,OBJECTID,PLACE_NAME,POSTAL_CODE,STATION_TYPE,TOOLS_PUMP,TRANSIT_STATION,VENDING_MACHINE,WARD,X,Y,YR_INSTALL,_id,geometry
25 York St,25,14187337,120,13975053,Yes,Toronto,York St,115001,,,1,43.6435976446,York St,4735,-79.3816086397,25,,former Toronto,1,,M5J 2V5,Bicycle Station,Yes,Union Station,Yes,Spadina-Fort York,,,2009,1,POINT (-79.3816086449723 43.6435976434882)
777 Victoria Park Ave,777,11382307,52,11382305,No,Toronto,Victoria Park Ave,108001,,,2,43.6939779228,Victoria Park Ave,370,-79.2892300786,777,,Scarborough,2,,,Bicycle Station,No,Victoria Park Station,No,Scarborough Southwest,,,2012,2,POINT (-79.28923007936038 43.69397792869813)
