ADDRESS_FULL,ADDRESS_NUMBER,ADDRESS_POINT_ID,BICYCLE_CAPACITY,BY_LAW,CENTRELINE_ID,CITY,DETAILS,FLANKING,GENERAL_USE_CODE,HI_NUM,HI_NUM_SUF,ID,LATITUDE,LINEAR_NAME_FULL,LINEAR_NAME_ID,LONGITUDE,LO_NUM,LO_NUM_SUF,MUNICIPALITY,OBJECTID,PARKING_TYPE,PLACE_NAME,POSTAL_CODE,SIZE_M,WARD,X,Y,YEAR_INSTALLED,_id,geometry
1 Albany Ave,1,8417835,8,N/A,14014600,Toronto,,Bloor St W,115001,,,1,43.6657287758,Albany Ave,2859,-79.4099418347,1,,former Toronto,1,Bike Rack,,M5R 3C2,2.9,University-Rosedale (11),,,2017,7840,POINT (-79.40993859086826 43.6657201946865)
1 St Clair Ave E,1,10154425,24,N/A,10154405,Toronto,,Yonge St,115001,,,2,43.6879197451,St Clair Ave E,339,-79.3935741178,1,,former Toronto,2,Bike Rack,,M4T 2V7,2.9,Toronto-St. Paul's (12),,,2016,7841,POINT (-79.39357087440868 43.68791115683658)
10 Linnsmore Cres,10,7939998,18,N/A,14023269,Toronto,,Linnsmore Cr,115001,,,3,43.6825806212,Linnsmore Cres,11375,-79.3302953949,10,,former Toronto,3,Bike Rack,,M4J 4J6,2.9,Toronto-Danforth (14),,,2016,7842,POINT (-79.33029217089205 43.68257203170756)
100 Queen St W,100,856375,120,N/A,1145216,Toronto,,Queen St W,104001,,,4,43.65282214,Queen St W,4238,-79.383625059,100,,former Toronto,4,Bike Rack,Nathan Phillips Square,M5H 2N1,2.9,Spadina-Fort York (10),,,2015,7843,POINT (-79.38362505521314 43.65282214231822)
101 Sherbourne St,101,20140670,8,N/A,1144819,Toronto,,Richmond St E,112001,,,5,43.653670735,Sherbourne St,4391,-79.3689149321,101,,former Toronto,5,Bike Rack,,M5A 2R3,2.9,Toronto Centre (13),,,2016,7844,POINT (-79.36891169731643 43.65366215584925)
1030 King St W,1030,3120556,16,N/A,3155022,Toronto,,King St W,113001,,,6,43.6415894297,King St W,3780,-79.4157619233,1030,,former Toronto,6,Bike Rack,,M6K 0B4,2.9,Spadina-Fort York (10),,,2016,7845,POINT (-79.41575867546813 43.64158085366741)
1032 Bloor St W,1032,773157,8,N/A,1143789,Toronto,,Salem Ave,107010,,,7,43.6609655067,Bloor St W,458,-79.4316095102,1032,,former Toronto,7,Bike Rack,,M6H 1M2,2.9,Davenport (9),,,2015,7846,POINT (-79.43160625984351 43.66095692246044)
1034 Bloor St W,1034,773158,5,N/A,1143821,Toronto,,Salem Ave,107010,,,8,43.6608934566,Bloor St W,458,-79.4319374749,1034,,former Toronto,8,Angled Bike Rack,,M6H 1M3,2.9,Davenport (9),,,2016,7847,POINT (-79.4319342255372 43.66088487342197)
1036 Bloor St W,1036,14210930,8,N/A,1143821,Toronto,,Bloor St W,115001,,,9,43.6608299006,Bloor St W,458,-79.4319416136,1036,,former Toronto,9,Bike Rack,,M6H 1M3,2.9,Davenport (9),,,2014,7848,POINT (-79.43193836411021 43.66082131739292)
11 Charlotte St,11,14199241,8,N/A,14025593,Toronto,,Charlotte St,115001,,,10,43.64637784,Charlotte St,3147,-79.393669884,11,,former Toronto,10,Bike Rack,,M5V 0M6,2.9,Spadina-Fort York (10),,,2017,7849,POINT (-79.39366987847779 43.64637784242471)
1140 Yonge St,1140,887713,8,N/A,1140465,Toronto,,Malborough Ave,112001,,,11,43.679518828,Yonge St,4733,-79.3910503989,1140,,former Toronto,11,Bike Rack,,M4W 2L8,2.9,University-Rosedale (11),,,2016,7850,POINT (-79.39104715975837 43.67951024396563)
1184 Queen St W,1184,7553175,14,NO,7553178,Toronto,,Northcote Ave,115001,,,12,43.6430370819,Queen St W,4238,-79.4257879468,1184,,former Toronto,12,Bike Corral,,M6J 1J5,5.5,Davenport (9),,,2013,7851,POINT (-79.42578469680919 43.64302849915006)
1190 Dundas St E,1190,30072958,8,N/A,7576995,Toronto,,Carlaw Ave,115001,,,13,43.665267525,Dundas St E,3334,-79.34103364,1190,,former Toronto,13,Bike Rack,,M4M 0C5,2.9,Toronto-Danforth (14),,,2016,7852,POINT (-79.34103364559273 43.66526752563123)
12 Emerson Ave,12,10334643,14,NO,14012771,Toronto,,Emerson Ave,115001,,,14,43.6593915609,Emerson Ave,3396,-79.4413165441,12,,former Toronto,14,Bike Corral,,M6H 3S8,5.5,Davenport (9),,,2014,7853,POINT (-79.44131329219147 43.65938297793613)
12 Madison Ave,12,8408615,8,N/A,30104520,Toronto,,Madison Ave,115001,,,15,43.667759198,Madison Ave,3896,-79.403321341,12,,former Toronto,15,Bike Rack,,M5R 2S1,2.9,University-Rosedale (11),,,2016,7854,POINT (-79.40332134027638 43.66775919992266)
12 Ossington Ave,12,7570973,5,N/A,7570969,Toronto,,Ossington Ave,107010,,,16,43.6444679051,Ossington Ave,4125,-79.4193814148,12,,former Toronto,16,Angled Bike Rack,,M6J 2Y7,2.9,Spadina-Fort York (10),,,2016,7855,POINT (-79.41937816820536 43.64445933011408)
122 Bond St,122,773911,16,N/A,14021112,Toronto,,Bond St,102007,,,17,43.6573867013,Bond St,3029,-79.3791420197,122,,former Toronto,17,Bike Rack,,M5B 1X8,2.9,Toronto Centre (13),,,2016,7856,POINT (-79.37913878518162 43.65737812162166)
124 Spadina Ave,124,7930799,28,NO,7930670,Toronto,,Camden St,115001,,,18,43.6471924893,Spadina Ave,4426,-79.396341776,124,,former Toronto,18,Bike Corral,,,12.0,Spadina-Fort York (10),,,2015,7857,POINT (-79.39633854409118 43.64718390848952)
137 Bond St,137,773913,8,N/A,14021112,Toronto,,Dalhousie St,102008,,,19,43.657831292,Bond St,3029,-79.3787214014,137,,former Toronto,19,Bike Rack,,M5B 1Y2,2.9,Toronto Centre (13),,,2016,7858,POINT (-79.37871816884744 43.65782271183339)
138 Fort York Blvd,138,30015452,8,N/A,30015458,Toronto,,Ft York Blvd,100001,,,20,43.6393893408,Fort York Blvd,15826,-79.3987903403,138,,former Toronto,20,Bike Rack,,M5V 0E3,2.9,Spadina-Fort York (10),,,2016,7859,POINT (-79.39878710319064 43.63938076105215)
1485 Dupont St,1485,8293016,14,NO,14013265,Toronto,,Campbell Ave,115001,,,21,43.665799329,Dupont St,3343,-79.450190577,1485,,former Toronto,21,Bike Corral,,M6P 3S2,5.5,Davenport (9),,,2016,7860,POINT (-79.45019057476479 43.66579933254921)
150 Borough Dr,150,310564,8,N/A,107945,Toronto,,Borough Dr,104001,,,22,43.772810589,Borough Dr,7397,-79.257240956,150,,Scarborough,22,Bike Rack,Albert Campbell Square,M1P 4N7,2.9,Scarborough Centre (21),,,2014,7861,POINT (-79.25724095781193 43.772810586741)
150 King St W,150,828221,8,N/A,1145855,Toronto,,University Ave,104008,,,23,43.6482228561,King St W,3780,-79.3842355046,150,,former Toronto,23,Bike Rack,,M5H 1J9,2.9,Spadina-Fort York (10),,,2017,7862,POINT (-79.3842322745632 43.64821427847949)
1560 Yonge St,1560,11272519,8,N/A,14242419,Toronto,,Delisle Ave,115001,,,24,43.6896869408,Yonge St,4733,-79.3951301472,1560,,former Toronto,24,Bike Rack,,M4T 2S9,2.9,Toronto-St. Paul's (12),,,2016,7863,POINT (-79.39512690124006 43.68967835300033)
157 Dan Leckie Way,157,20364734,8,N/A,20364648,Toronto,,Dan Leckie Way,100001,,,25,43.639893113,Dan Leckie Way,17007,-79.398005538,157,,former Toronto,25,Bike Rack,,M5V 4A8,2.9,Spadina-Fort York (10),,,2016,7864,POINT (-79.39800553272747 43.63989311792152)
1595 Dupont St,1595,8312904,8,N/A,8312902,Toronto,,Franklin Ave,115001,,,26,43.6649444707,Dupont St,3343,-79.4542225691,1595,,former Toronto,26,Bike Rack,,M6P 3S8,2.9,Davenport (9),,,2017,7865,POINT (-79.45421931798984 43.66493588945114)
163 Dan Leckie Way,163,20362129,8,N/A,20364648,Toronto,,Iceboat Ter,100001,,,27,43.640054195,Dan Leckie Way,17007,-79.398068614,163,,former Toronto,27,Bike Rack,,M5V 4A8,2.9,Spadina-Fort York (10),,,2016,7866,POINT (-79.39806860815084 43.64005419981464)
180 Shaw St,180,866475,18,N/A,14018156,Toronto,,Shaw St,102001,,,28,43.6469074879,Shaw St,4388,-79.4175895075,180,,former Toronto,28,Bike Shelter,Givins/Shaw Ps Jr. & Sr.,M6J 2W5,7.6,Spadina-Fort York (10),,,2013,7867,POINT (-79.41758626104539 43.64689890835729)
192 Spadina Ave,192,14069353,14,NO,10494196,Toronto,,Spadina Ave,104008,,,29,43.6499464725,Spadina Ave,4426,-79.3976521421,192,,former Toronto,29,Bike Corral,,M5T 2C2,5.5,Spadina-Fort York (10),,,2015,7868,POINT (-79.39764889841622 43.64993789518881)
