ADDRESS_FULL,ADDRESS_NUMBER,ADDRESS_POINT_ID,BICYCLE_CAPACITY,BY_LAW,CENTRELINE_ID,CITY,DETAILS,FLANKING,GENERAL_USE_CODE,HI_NUM,HI_NUM_SUF,ID,LATITUDE,LINEAR_NAME_FULL,LINEAR_NAME_ID,LONGITUDE,LO_NUM,LO_NUM_SUF,MUNICIPALITY,OBJECTID,PARKING_TYPE,PLACE_NAME,POSTAL_CODE,SIZE_M,WARD,X,Y,YEAR_INSTALLED,_id,geometry
28 Duncan St,28,10864283,14,NO,14036084,Toronto,,Nelson St,115001,,,51,43.6487897716,Duncan St,3331,-79.3892131181,28,,former Toronto,51,Bike Corral,,,5.5,Spadina-Fort York (10),,,2015,7890,POINT (-79.38920987958278 43.64878119306491)
300 Victoria St,300,14171704,32,N/A,30075809,Toronto,,Gould St,115001,,,52,43.657512627,Victoria St,9790,-79.380237679,300,,former Toronto,52,Bike Rack,,,2.9,Toronto Centre (13),,,2016,7891,POINT (-79.38023767388977 43.65751263315352)
315 Bloor St W,315,772775,8,N/A,1142564,Toronto,,Bloor St W,102007,,,53,43.667455529,Bloor St W,458,-79.398565687,315,,former Toronto,53,Bike Rack,,M5S 1A3,2.9,University-Rosedale (11),,,2016,7892,POINT (-79.39856245006341 43.66744694243059)
35 York St,35,30069161,30,N/A,13975053,Toronto,,Front St W,108002,,,54,43.64379067,York St,4735,-79.381465101,35,,former Toronto,54,Angled Bike Rack,,M5J 0C7,2.9,Spadina-Fort York (10),,,2015,7893,POINT (-79.38146510141118 43.64379067315954)
350 Victoria St,350,7730108,8,N/A,30060911,Toronto,,Gould St,115001,,,55,43.65776563,Victoria St,9790,-79.380479827,350,,former Toronto,55,Bike Rack,,M5B 2K3,2.9,Toronto Centre (13),,,2016,7894,POINT (-79.38047982602923 43.65776563546564)
3530 Sheppard Ave E,3530,6292601,8,N/A,6292597,Toronto,,Sheppard Ave E,102003,,,56,43.7812163629,Sheppard Ave E,6698,-79.3030994655,3530,,Scarborough,56,Bike Rack,Holy Spirit Catholic School,M1T 3K7,2.9,Scarborough-Agincourt (22),,,2014,7895,POINT (-79.303096242086 43.78120775326263)
357 Bay St,357,7929475,8,N/A,7929469,Toronto,,Temperance St,115001,,,57,43.650842985,Bay St,2962,-79.3808802374,357,,former Toronto,57,Bike Rack,,M5H 2T7,2.9,Toronto Centre (13),,,2016,7896,POINT (-79.38087699988185 43.65083440423785)
35D Bathurst St,35D,30019115,8,N/A,8457361,Toronto,,Bathurst St,112001,,,58,43.6422342931,Bathurst St,436,-79.4017282069,35,D,former Toronto,58,Bike Rack,,M5V 2P2,2.9,Spadina-Fort York (10),,,2016,7897,POINT (-79.4017249691283 43.64222571583498)
36 Lisgar St,36,30035743,8,N/A,14024655,Toronto,,Lisgar St,100002,,,59,43.641738641,Lisgar St,3859,-79.423315745,36,,former Toronto,59,Bike Rack,,M6J 0C7,2.9,Davenport (9),,,2016,7898,POINT (-79.42331574611123 43.64173864705062)
362 Bloor St W,362,10736597,8,N/A,10736589,Toronto,,Walmer Rd,109001,,,60,43.6665220156,Bloor St W,458,-79.4057871962,362,,former Toronto,60,Bike Rack,The Living Stone Church,M5S 1X2,2.9,University-Rosedale (11),,,2016,7899,POINT (-79.40578395724863 43.66651342817213)
375 St Clair Ave W,375,12562241,20,N/A,30076115,Toronto,,St Clair Ave W,106001,,,61,43.683694625,St Clair Ave W,890,-79.414329031,375,,former Toronto,61,Bike Shelter,Nordheimer Ravine,,10.0,Toronto-St. Paul's (12),,,2011,7900,POINT (-79.414329030521 43.68369462848482)
38 Orchard View Blvd,38,13968174,8,N/A,10258454,Toronto,,Yonge St,107009,,,62,43.7082253083,Orchard View Blvd,4111,-79.3996833833,38,,former Toronto,62,Bike Rack,,M4R 2G3,2.9,Eglinton-Lawrence (8),,,2016,7901,POINT (-79.39968014457334 43.70821671331101)
40 High Park Ave,40,7994464,20,N/A,7994458,Toronto,,High Park Ave,115001,,,63,43.6547197987,High Park Ave,3660,-79.4663714027,40,,former Toronto,63,Bike Shelter,,M6P 2S1,10.0,Parkdale-High Park (4),,,2013,7902,POINT (-79.46636814789083 43.65471122240528)
40 Orchard View Blvd,40,10258457,8,N/A,10258454,Toronto,,Roehampton Ave,107009,,,64,43.7082784933,Orchard View Blvd,4111,-79.4000672949,40,,former Toronto,64,Bike Rack,Northern District Public Library,M4R 1B9,2.9,Eglinton-Lawrence (8),,,2016,7903,POINT (-79.40006404847881 43.70826990505106)
400 Yonge St,400,7730077,8,N/A,7730098,Toronto,,Gerrard St W,115001,,,65,43.6595503461,Yonge St,4733,-79.3826500538,400,,former Toronto,65,Bike Rack,,,2.9,University-Rosedale (11),,,2016,7904,POINT (-79.38264682227708 43.65954175812542)
429 College St,429,785313,8,N/A,1144402,Toronto,,Bathurst St,104008,,,66,43.6562918145,College St,9765,-79.4072880289,429,,former Toronto,66,Bike Rack,,M5T 1T2,2.9,University-Rosedale (11),,,2016,7905,POINT (-79.40728478412657 43.65628323340167)
